Station_Id,Station_Name,Station_Lat,Station_Lon,Station_Docks,Overall,Weekday,Weekend
380,"Stanhope Gate, Mayfair",51.506864,-0.150666,21,20.5,24.4,10.75
381,"Charlotte Street, Fitzrovia",51.51953,-0.135777,14,31.53571429,35.6,21.375
382,"Farm Street, Mayfair",51.509351,-0.147449,15,15.64285714,20.15,4.375
383,"Frith Street, Soho",51.513103,-0.131213,18,36.10714286,36.55,35
384,"Marloes Road, Kensington",51.496481,-0.192404,15,15.60714286,17.85,10
386,"Moor Street, Soho",51.513527,-0.13011,16,59.42857143,63.2,50
387,"Fire Brigade Pier, Vauxhall",51.493699,-0.121394,30,40.07142857,43.15,32.375
388,"Southampton Street, Strand",51.510701,-0.121723,14,47.71428571,51.45,38.375
389,"Upper Grosvenor Street, Mayfair",51.51013,-0.155757,18,11.92857143,13.1,9
39,"Shoreditch High Street, Shoreditch",51.526377,-0.07813,41,83.57142857,84.9,80.25
390,"Buxton Street 1, Shoreditch",51.521776,-0.068856,41,16.5,17.1,15
392,"Imperial College, Knightsbridge",51.499428,-0.179702,21,57.42857143,62.8,44
393,"Snow Hill, Farringdon",51.517334,-0.103604,15,53.64285714,71.4,9.25
394,"Aberdeen Place, St. John's Wood",51.524826,-0.176268,18,18.78571429,19.1,18
395,"Cadogan Gardens, Chelsea",51.492462,-0.159919,15,33.75,37.75,23.75
396,"Shouldham Street, Marylebone",51.51809,-0.163609,16,24.42857143,26.15,20.125
397,"Devonshire Terrace, Bayswater",51.51348,-0.17977,16,45.10714286,45.45,44.25
398,"Holland Park, Kensington",51.502319,-0.200742,30,17.75,15.5,23.375
399,"Brick Lane Market, Shoreditch",51.522617,-0.071653,24,44.96428571,42.6,50.875
4,"St. Chad's Street, King's Cross",51.530059,-0.120973,23,23.21428571,27.5,12.5
40,"Commercial Street, Shoreditch",51.52127,-0.075578,16,32.07142857,32.35,31.375
400,"George Street, Marylebone",51.517703,-0.154106,26,35.35714286,42.45,17.625
401,"Columbia Road, Shoreditch",51.528187,-0.075375,24,40.71428571,41.25,39.375
402,"Penfold Street, Marylebone",51.522892,-0.171681,15,14.39285714,16,10.375
403,"George Place Mews, Marylebone",51.516892,-0.158249,16,24.67857143,28.7,14.625
404,"Palace Gate, Kensington Gardens",51.502042,-0.1844,13,73.03571429,60.6,104.125
